,GISJOIN,COUNTY,Population,Population_density,Hispanic,White,Black,Native,Asian,Pacific
286,G36000500001000,Bronx County,0,,0,0,0,0,0,0
287,G36000500001001,Bronx County,3772,0.0022489729968221033,1259,260,2172,6,59,0
288,G36000500002000,Bronx County,0,,0,0,0,0,0,0
289,G36000500002001,Bronx County,1330,0.014941637738307888,950,31,272,3,22,0
290,G36000500002002,Bronx County,2057,0.010523030960322494,1330,59,496,12,86,0
291,G36000500002003,Bronx County,1392,0.00826883208687026,893,62,243,5,94,0
292,G36000500004000,Bronx County,0,,0,0,0,0,0,0
293,G36000500004001,Bronx County,1047,0.01665235232369501,761,28,142,2,52,2
294,G36000500004002,Bronx County,1433,0.004358471341454142,1045,59,214,2,68,0
295,G36000500004003,Bronx County,3095,0.010495937275329291,1736,142,1040,2,76,4
296,G36000500004004,Bronx County,697,0.008282434584214654,430,9,196,3,34,0
297,G36000500016001,Bronx County,2455,0.031588157336043955,1298,27,1059,2,12,0
298,G36000500016002,Bronx County,1010,0.013381914541238821,754,36,131,9,32,0
299,G36000500016003,Bronx County,745,0.032430785303848166,437,5,290,5,1,0
300,G36000500016004,Bronx County,1585,0.0051308944589577,990,53,404,2,77,1
301,G36000500019011,Bronx County,2292,0.011180106045159434,1089,250,803,9,39,0
302,G36000500019021,Bronx County,1613,0.003433807140530633,854,165,524,3,13,2
303,G36000500019031,Bronx County,0,0.0,0,0,0,0,0,0
304,G36000500019032,Bronx County,2,2.684149426598579e-06,2,0,0,0,0,0
305,G36000500019040,Bronx County,0,,0,0,0,0,0,0
306,G36000500019041,Bronx County,0,0.0,0,0,0,0,0,0
307,G36000500019042,Bronx County,0,0.0,0,0,0,0,0,0
308,G36000500020011,Bronx County,2322,0.019691149159182842,1449,30,781,3,12,0
309,G36000500020012,Bronx County,1961,0.0314131932207734,1148,26,724,7,8,5
310,G36000500020013,Bronx County,724,0.03800325442234003,426,12,250,1,1,0
311,G36000500020021,Bronx County,1465,0.019287736159568164,933,36,384,7,27,0
312,G36000500020022,Bronx County,2011,0.026470278523666613,1512,12,406,3,16,0
313,G36000500020023,Bronx County,1108,0.0209194751250826,613,18,379,6,35,0
314,G36000500023001,Bronx County,2690,0.05181946023000905,1661,44,908,17,3,0
315,G36000500023002,Bronx County,452,0.023175921653079013,250,4,174,0,2,0
316,G36000500023003,Bronx County,1600,0.04814781378833018,1134,19,391,9,14,0
317,G36000500024000,Bronx County,0,,0,0,0,0,0,0
318,G36000500024001,Bronx County,6,8.677479770625285e-06,3,1,0,0,0,0
319,G36000500025001,Bronx County,1071,0.049325288997374844,893,35,111,1,20,0
320,G36000500025002,Bronx County,1462,0.055257389069468595,969,4,446,1,6,0
321,G36000500025003,Bronx County,1064,0.04545260369943184,842,15,191,1,3,0
322,G36000500025004,Bronx County,964,0.04434834613792152,741,10,199,0,4,0
323,G36000500025005,Bronx County,881,0.025779078273591806,690,41,101,2,20,0
324,G36000500027011,Bronx County,1181,0.03084759044012015,738,7,416,2,6,0
325,G36000500027012,Bronx County,1899,0.043857825815838705,1325,28,484,4,22,0
326,G36000500027021,Bronx County,1453,0.026978350477180734,846,44,521,5,7,3
327,G36000500027022,Bronx County,963,0.028544328185671517,660,13,255,1,5,0
328,G36000500027023,Bronx County,1689,0.03655448544529813,1208,32,366,9,33,1
329,G36000500027024,Bronx County,890,0.041087669082683166,604,5,256,6,10,0
330,G36000500028001,Bronx County,1433,0.005470948234063429,587,52,727,5,8,0
331,G36000500028002,Bronx County,1894,0.02479998952481963,422,15,1407,0,3,0
332,G36000500028003,Bronx County,1124,0.029252550489277534,244,9,826,0,5,0
333,G36000500028004,Bronx County,1402,0.03702725544052398,394,13,929,2,22,0
334,G36000500031001,Bronx County,2964,0.019159292321415874,1780,35,1014,7,58,0
335,G36000500033001,Bronx County,840,0.010725640665500465,508,23,266,1,8,2
336,G36000500033002,Bronx County,1325,0.03811743045366934,803,15,468,3,5,0
337,G36000500033003,Bronx County,1524,0.03877172004986389,1142,17,332,0,3,0
338,G36000500035001,Bronx County,911,0.010827192773948181,677,22,191,0,2,0
339,G36000500035002,Bronx County,1502,0.08514256561419421,954,17,500,0,11,0
340,G36000500035003,Bronx County,1313,0.03264220365950676,961,83,233,1,12,0
341,G36000500037001,Bronx County,340,0.002048525965066607,194,5,123,1,0,0
342,G36000500038001,Bronx County,1683,0.02654699749199489,1082,18,475,9,49,0
343,G36000500039001,Bronx County,1253,0.029349073618626004,1064,35,129,0,9,0
344,G36000500039002,Bronx County,1615,0.03043207899150163,1280,65,224,0,12,0
345,G36000500039003,Bronx County,993,0.027128182712271885,754,82,129,4,11,0
346,G36000500039004,Bronx County,1034,0.0387236911092802,800,27,185,0,0,0
347,G36000500039005,Bronx County,1450,0.02537538063070946,1209,40,156,1,5,2
348,G36000500040011,Bronx County,1739,0.014121564009907021,740,125,220,8,566,0
349,G36000500041001,Bronx County,1678,0.035338963418486614,1249,13,389,0,7,0
350,G36000500041002,Bronx County,1720,0.021971284042716265,1271,63,338,0,7,0
351,G36000500041003,Bronx County,123,0.01480857211654226,70,2,36,0,5,0
352,G36000500041004,Bronx County,2625,0.05181705126433605,1493,16,1056,1,16,0
353,G36000500042001,Bronx County,753,0.016055779440926246,523,18,169,0,10,0
354,G36000500042002,Bronx County,2272,0.030697309932038966,1474,10,765,3,3,0
355,G36000500042003,Bronx County,1514,0.01636190723209268,827,26,588,1,29,0
356,G36000500042004,Bronx County,746,0.018779106356198866,286,4,435,1,0,0
357,G36000500042005,Bronx County,940,0.011035843009263064,508,25,373,6,16,0
358,G36000500042006,Bronx County,0,0.0,0,0,0,0,0,0
359,G36000500042007,Bronx County,976,0.029182239497682762,695,7,251,0,5,0
360,G36000500043001,Bronx County,1155,0.024769992922859165,858,58,221,0,5,0
361,G36000500043002,Bronx County,2411,0.02364096328835896,1647,44,652,1,23,0
362,G36000500043003,Bronx County,1173,0.030319478908188587,848,16,277,1,7,0
363,G36000500043004,Bronx County,1144,0.03003097600672022,821,12,259,3,8,0
364,G36000500044001,Bronx County,1286,0.02029607651273634,815,15,415,5,17,0
365,G36000500044002,Bronx County,643,0.028947013010399317,431,8,175,4,1,0
366,G36000500044003,Bronx County,1731,0.016352403264812576,997,54,489,12,150,0
367,G36000500044004,Bronx County,982,0.013243961320080381,566,11,358,3,12,1
368,G36000500046001,Bronx County,1976,0.01460037387597071,1187,53,673,5,4,0
369,G36000500048001,Bronx County,1949,0.029886220750145673,1598,21,275,2,8,0
370,G36000500048002,Bronx County,2235,0.026104323857132846,1665,43,371,6,59,0
371,G36000500050011,Bronx County,1226,0.03142622782733518,885,27,237,4,46,1
372,G36000500050012,Bronx County,1498,0.07639738882088944,1165,9,295,1,13,0
373,G36000500050013,Bronx County,1168,0.059443228663036286,802,29,277,6,17,0
374,G36000500050014,Bronx County,1068,0.054434250764525995,611,16,382,2,19,4
375,G36000500050021,Bronx County,2606,0.05707527541120042,2077,42,362,3,35,8
376,G36000500050022,Bronx County,1266,0.05389298029032395,999,21,210,0,19,0
377,G36000500050023,Bronx County,1249,0.05605169860431719,946,15,162,7,56,0
378,G36000500050024,Bronx County,1397,0.062174551604432776,951,26,317,2,29,1
379,G36000500051001,Bronx County,374,0.0013539833901716734,188,50,112,2,5,1
380,G36000500051002,Bronx County,3664,0.022037109433735304,2221,84,1233,1,36,1
381,G36000500051003,Bronx County,2421,0.03562494481885871,1554,29,786,2,14,0
382,G36000500052001,Bronx County,825,0.005195508561568351,510,8,243,4,26,0
383,G36000500052002,Bronx County,1305,0.05460708009038413,973,12,300,0,8,0
384,G36000500053001,Bronx County,2162,0.058489340980413376,943,28,1076,9,7,0
385,G36000500053002,Bronx County,2209,0.06296137950691179,1095,10,1016,11,5,2
386,G36000500054001,Bronx County,1411,0.030242626886145405,1014,23,141,1,155,1
387,G36000500054002,Bronx County,2860,0.040818656695116036,1892,31,636,0,142,0
388,G36000500054003,Bronx County,1064,0.018441806049051043,797,18,143,0,43,0
389,G36000500054004,Bronx County,1469,0.06647359609032083,1047,9,362,1,30,1
390,G36000500056001,Bronx County,946,0.01582230845138738,679,18,212,9,1,1
391,G36000500056002,Bronx County,823,0.040044764499805374,636,4,110,6,26,0
392,G36000500056003,Bronx County,1094,0.019589234873851773,643,8,296,9,35,0
393,G36000500059021,Bronx County,897,0.04055703757290772,532,85,227,1,16,0
394,G36000500059022,Bronx County,1680,0.03483309143686502,1109,139,365,2,21,0
395,G36000500060001,Bronx County,1259,0.013023958290230479,1010,16,196,5,11,0
396,G36000500060002,Bronx County,3,1.2509329875198585e-05,3,0,0,0,0,0
397,G36000500061001,Bronx County,31,0.0006350897320331066,18,2,5,0,3,0
398,G36000500061002,Bronx County,2188,0.0893024774499,447,17,1637,1,13,0
399,G36000500061003,Bronx County,1158,0.059823319729296894,204,9,930,0,8,0
400,G36000500061004,Bronx County,67,0.0004463244845618359,39,5,8,0,0,0
401,G36000500062001,Bronx County,1375,0.01913096712256341,818,29,341,5,75,0
402,G36000500062002,Bronx County,1528,0.0440981240981241,993,22,465,4,4,0
403,G36000500062003,Bronx County,1898,0.05252379898162497,1232,28,583,10,11,0
404,G36000500062004,Bronx County,1296,0.059947268606318514,1038,9,220,4,7,1
405,G36000500062005,Bronx County,672,0.022606472448361704,374,14,251,0,20,0
406,G36000500063011,Bronx County,905,0.019360359396726923,615,45,197,0,17,0
407,G36000500063012,Bronx County,1166,0.06518700732375468,650,115,282,0,94,0
408,G36000500063013,Bronx County,1114,0.03279653781611564,888,26,163,0,13,0
