DBN,School Name,Grade Level,Program Type,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M015,PS 015 ROBERTO CLEMENTE,K,G&T,13,1,13,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,K,ICT,17,1,17,17,17
01M015,PS 015 ROBERTO CLEMENTE,1,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,1,ICT,18,1,18,18,18
01M015,PS 015 ROBERTO CLEMENTE,2,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,2,ICT,16,1,16,16,16
01M015,PS 015 ROBERTO CLEMENTE,3,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,3,ICT,14,1,14,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,4,G&T,10,1,10,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,4,ICT,22,1,22,22,22
01M015,PS 015 ROBERTO CLEMENTE,5,G&T,12,1,12,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,5,ICT,17,1,17,17,17
01M019,PS 019 ASHER LEVY,K,ICT,22,2,11,<15,<15
01M019,PS 019 ASHER LEVY,1,ICT,20,2,10,<15,<15
01M019,PS 019 ASHER LEVY,2,ICT,22,2,11,<15,<15
01M019,PS 019 ASHER LEVY,3,ICT,23,2,11.5,<15,<15
01M019,PS 019 ASHER LEVY,4,ICT,31,2,15.5,<15,17
01M019,PS 019 ASHER LEVY,5,ICT,33,2,16.5,16,17
01M020,PS 020 ANNA SILVER,K,Gen Ed,33,2,16.5,<15,20
01M020,PS 020 ANNA SILVER,K,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,1,Gen Ed,31,2,15.5,15,16
01M020,PS 020 ANNA SILVER,1,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,2,Gen Ed,24,2,12,<15,15
01M020,PS 020 ANNA SILVER,2,ICT,18,1,18,18,18
01M020,PS 020 ANNA SILVER,3,Gen Ed,30,3,10,<15,<15
01M020,PS 020 ANNA SILVER,3,ICT,17,1,17,17,17
01M020,PS 020 ANNA SILVER,4,Gen Ed,18,2,9,<15,<15
01M020,PS 020 ANNA SILVER,4,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,5,Gen Ed,16,1,16,16,16
01M020,PS 020 ANNA SILVER,5,ICT,36,3,12,<15,<15
01M034,PS 034 FRANKLIN D ROOSEVELT,K,ICT,15,1,15,15,15
01M034,PS 034 FRANKLIN D ROOSEVELT,1,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,2,ICT,25,1,25,25,25
01M034,PS 034 FRANKLIN D ROOSEVELT,3,ICT,27,1,27,27,27
01M034,PS 034 FRANKLIN D ROOSEVELT,4,ICT,17,1,17,17,17
01M034,PS 034 FRANKLIN D ROOSEVELT,5,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,6,ICT,28,2,14,<15,15
01M034,PS 034 FRANKLIN D ROOSEVELT,7,ICT,46,2,23,21,25
01M034,PS 034 FRANKLIN D ROOSEVELT,8,ICT,38,2,19,19,19
01M063,THE STAR ACADEMY - PS63,K,ICT,23,2,11.5,<15,<15
01M063,THE STAR ACADEMY - PS63,1,ICT,34,2,17,17,17
01M063,THE STAR ACADEMY - PS63,2,ICT,27,2,13.5,<15,16
01M063,THE STAR ACADEMY - PS63,3,ICT,30,2,15,<15,16
01M063,THE STAR ACADEMY - PS63,4,ICT,26,1,26,26,26
01M063,THE STAR ACADEMY - PS63,5,ICT,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,K,ICT,24,1,24,24,24
01M064,PS 064 ROBERT SIMON,1,ICT,15,1,15,15,15
01M064,PS 064 ROBERT SIMON,2,ICT,17,1,17,17,17
01M064,PS 064 ROBERT SIMON,3,Gen Ed,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,3,ICT,20,1,20,20,20
01M064,PS 064 ROBERT SIMON,4,Gen Ed,14,1,14,<15,<15
01M064,PS 064 ROBERT SIMON,4,ICT,17,1,17,17,17
01M064,PS 064 ROBERT SIMON,5,ICT,43,2,21.5,21,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,Gen Ed,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,K,G&T,22,1,22,22,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,ICT,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,1,Gen Ed,20,1,20,20,20
01M110,PS 110 FLORENCE NIGHTINGALE,1,G&T,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,1,ICT,21,1,21,21,21
01M110,PS 110 FLORENCE NIGHTINGALE,2,Gen Ed,18,1,18,18,18
01M110,PS 110 FLORENCE NIGHTINGALE,2,G&T,19,1,19,19,19
01M110,PS 110 FLORENCE NIGHTINGALE,2,ICT,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,3,Gen Ed,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,3,G&T,20,1,20,20,20
01M110,PS 110 FLORENCE NIGHTINGALE,3,ICT,16,1,16,16,16
